Latitude,Longitude,Name,State,Country
14.5,78.5,Veerapunayunipalle,Andhra Pradesh,IN
15.5,79.5,Kanigiri,Andhra Pradesh,IN
15.5,80.5,India,,IN
16.5,73.5,Devgad,Maharashtra,IN
16.5,74.5,Chikodi taluk,Karnataka,IN
16.5,75.5,Vijayapura taluk,Karnataka,IN
14.5,79.5,Chejerla,Andhra Pradesh,IN
8.5,77.5,Nanguneri,Tamil Nadu,IN
14.5,75.5,Rattihalli taluk,Karnataka,IN
11.5,76.5,Gudalur,Tamil Nadu,IN
12.5,79.5,Vandavasi,Tamil Nadu,IN
11.5,77.5,Gobichettipalayam,Tamil Nadu,IN
9.5,76.5,Kuttanad,Kerala,IN
13.5,79.5,Vadamalapeta,Andhra Pradesh,IN
10.5,78.5,Iluppur taluk,Tamil Nadu,IN
12.5,77.5,Harohalli taluk,Karnataka,IN
15.5,78.5,Nandyal,Andhra Pradesh,IN
12.5,78.5,Tirupathur,Tamil Nadu,IN
15.5,76.5,Gangavati taluku,Karnataka,IN
15.5,75.5,Gadag taluk,Karnataka,IN
14.5,77.5,Raptadu,Andhra Pradesh,IN
13.5,74.5,India,,IN
11.5,78.5,Attur,Tamil Nadu,IN
11.5,75.5,India,,IN
10.5,76.5,Alathur,Kerala,IN
15.5,74.5,Khanapura taluku,Karnataka,IN
13.5,78.5,Madanapalle,Andhra Pradesh,IN
9.5,79.5,Jaffna District,Northern Province,LK
14.5,74.5,Kumata taluk,Karnataka,IN
10.5,79.5,Mannargudi,Tamil Nadu,IN
9.5,78.5,Mudukulathur,Tamil Nadu,IN
12.5,76.5,Krishnarajapete taluk,Karnataka,IN
14.5,76.5,Challakere taluku,Karnataka,IN
9.5,77.5,Rajapalayam,Tamil Nadu,IN
11.5,72.5,Lakshadweep,Lakshadweep,IN
15.5,77.5,Aspari,Andhra Pradesh,IN
11.5,79.5,Bhuvanagiri,Tamil Nadu,IN
14.5,80.5,India,,IN
10.5,92.5,India,,IN
13.5,77.5,Gauribidanuru taluk,Karnataka,IN
