Latitude,Longitude,Name,State,Country
8.5,77.5,Nanguneri,Tamil Nadu,IN
9.5,78.5,Mudukulathur,Tamil Nadu,IN
9.5,76.5,Kuttanad,Kerala,IN
9.5,77.5,Rajapalayam,Tamil Nadu,IN
8.25,77.0,Kanyakumari,Tamil Nadu,IN
8.5,77.25,Vilavancode,Tamil Nadu,IN
8.75,76.75,Varkala,Kerala,IN
9.0,77.5,Veerakeralamputhur,Tamil Nadu,IN
9.0,78.0,Ottapidaram,Tamil Nadu,IN
8.5,77.75,Nanguneri,Tamil Nadu,IN
9.25,76.5,Karthikappally,Kerala,IN
9.0,76.5,Kollam,Kerala,IN
8.75,77.25,Ambasamudram,Tamil Nadu,IN
8.5,76.75,Kanyakumari,Tamil Nadu,IN
8.25,77.25,Kalkulam,Tamil Nadu,IN
9.5,79.25,India,,IN
9.25,78.0,Ettayapuram,Tamil Nadu,IN
9.25,77.5,Sankarankoil,Tamil Nadu,IN
8.5,77.0,Thiruvananthapuram,Kerala,IN
8.75,77.5,Cheranmahadevi,Tamil Nadu,IN
9.0,77.25,Shenkottai,Tamil Nadu,IN
8.75,77.0,Nedumangad,Kerala,IN
9.0,76.75,Kottarakkara,Kerala,IN
8.5,78.0,Tiruchendur,Tamil Nadu,IN
8.75,77.75,Palayamkottai,Tamil Nadu,IN
9.25,76.75,Kozhencherry,Kerala,IN
9.25,77.25,Konni,Kerala,IN
9.5,76.75,Changanassery,Kerala,IN
9.5,77.75,Sivakasi,Tamil Nadu,IN
8.25,77.75,Radhapuram,Tamil Nadu,IN
8.25,77.5,Thovalai,Tamil Nadu,IN
9.25,77.0,Konni,Kerala,IN
9.5,78.0,Virudhunagar,Tamil Nadu,IN
9.25,77.75,Sankarankoil,Tamil Nadu,IN
9.25,78.25,Vilathikulam,Tamil Nadu,IN
9.0,77.0,Punalur,Kerala,IN
9.5,78.25,Tiruchuli,Tamil Nadu,IN
9.5,77.0,Idukki,Kerala,IN
8.75,78.0,Thoothukudi,Tamil Nadu,IN
9.5,77.25,Idukki,Kerala,IN
9.0,77.75,Kovilpatti,Tamil Nadu,IN
9.25,78.75,Ramanathapuram,Tamil Nadu,IN
9.5,76.25,Nehru Trophy Island Pavilion,Kerala,IN
9.5,79.0,Ramnathapuram,Tamil Nadu,IN
9.25,76.25,India,,IN
9.5,78.75,Paramakudi,Tamil Nadu,IN
9.25,78.5,Kadaladi,Tamil Nadu,IN
8.75,76.5,India,,IN
9.75,76.25,India,,IN
9.25,79.25,India,,IN
9.75,76.5,Vaikom,Kerala,IN
9.75,76.75,Meenachil,Kerala,IN
9.75,77.0,Idukki,Kerala,IN
9.75,77.25,Uthamapalayam,Tamil Nadu,IN
10.5,77.5,Palani,Tamil Nadu,IN
10.5,76.5,Alathur,Kerala,IN
10.5,78.5,Iluppur taluk,Tamil Nadu,IN
10.5,79.5,Mannargudi,Tamil Nadu,IN
9.75,78.25,Tiruchuli,Tamil Nadu,IN
9.75,77.75,Peraiyur,Tamil Nadu,IN
10.0,77.25,Idukki,Kerala,IN
10.25,78.25,Natham,Tamil Nadu,IN
9.75,77.5,Andipatti,Tamil Nadu,IN
9.75,78.0,Thirumangalam,Tamil Nadu,IN
10.0,76.75,Kothamangalam,Kerala,IN
10.25,78.0,Dindigul,Tamil Nadu,IN
10.0,76.25,Ernakulam,Kerala,IN
10.0,78.25,Melur,Tamil Nadu,IN
10.0,76.5,Kunnathunad,Kerala,IN
10.0,77.75,Usilampatti,Tamil Nadu,IN
9.75,78.5,Sivaganga,Tamil Nadu,IN
9.75,78.75,Tiruvadanai,Tamil Nadu,IN
10.5,77.0,Valparai,Tamil Nadu,IN
10.0,77.0,Idukki,Kerala,IN
10.25,76.25,Chalakkudy,Kerala,IN
10.0,78.75,Karaikkudi,Tamil Nadu,IN
10.5,76.0,Pālghāt,Kerala,IN
10.25,77.25,Idukki,Kerala,IN
10.25,79.0,Aranthangi taluk,Tamil Nadu,IN
10.25,78.5,Varuppatti,Tamil Nadu,IN
10.25,78.75,Thirumayam taluk,Tamil Nadu,IN
10.25,77.0,Valparai,Tamil Nadu,IN
10.0,78.0,Madurai North,Tamil Nadu,IN
10.0,77.5,Theni,Tamil Nadu,IN
10.25,79.25,Peravurani,Tamil Nadu,IN
10.25,77.5,Kodaikanal,Tamil Nadu,IN
10.25,76.5,Aluva,Kerala,IN
10.25,77.75,Athoor,Tamil Nadu,IN
10.5,78.0,Vedasandur,Tamil Nadu,IN
10.0,79.0,Avudayarkoil taluk,Tamil Nadu,IN
10.5,76.25,Thrissur,Kerala,IN
10.5,77.25,Udumalaipettai,Tamil Nadu,IN
10.25,76.75,Kothamangalam,Kerala,IN
10.5,77.75,Oddanchatram,Tamil Nadu,IN
10.0,78.5,Sivaganga,Tamil Nadu,IN
10.5,76.75,Chittur,Kerala,IN
10.5,78.25,Manapparai,Tamil Nadu,IN
10.5,78.75,Kulathur taluk,Tamil Nadu,IN
10.5,79.0,Pudukkottai taluk,Tamil Nadu,IN
10.25,76.0,India,,IN
10.0,76.0,India,,IN
10.5,79.25,Pattukkottai,Tamil Nadu,IN
10.5,79.75,Vedaranyam,Tamil Nadu,IN
10.75,76.25,Ottappalam,Kerala,IN
10.75,76.0,Ponnani,Kerala,IN
10.75,76.5,Alathur,Kerala,IN
10.75,75.75,India,,IN
10.75,77.25,Madathukulam,Tamil Nadu,IN
10.75,77.75,Dharapuram,Tamil Nadu,IN
10.75,77.5,Dharapuram,Tamil Nadu,IN
10.75,77.0,Pollachi,Tamil Nadu,IN
10.75,76.75,Palakkad,Kerala,IN
10.75,78.75,Thiruverumbur,Tamil Nadu,IN
11.0,79.25,Ariyalur,Tamil Nadu,IN
11.0,79.0,Ariyalur,Tamil Nadu,IN
11.0,78.5,Musiri,Tamil Nadu,IN
11.0,76.25,Perinthalmanna,Kerala,IN
11.0,75.75,India,,IN
11.25,77.0,Mettupalayam,Tamil Nadu,IN
11.25,77.25,Avanashi,Tamil Nadu,IN
11.5,75.5,India,,IN
11.0,76.75,Coimbatore South,Tamil Nadu,IN
11.25,76.25,Nilambur,Kerala,IN
11.0,77.0,Coimbatore,Tamil Nadu,IN
11.25,77.75,Modakkurichi,Tamil Nadu,IN
11.0,79.75,Thirunallar Taluk,Puducherry,IN
10.75,79.75,Kilvelur,Tamil Nadu,IN
11.0,78.0,Aravakurichi,Tamil Nadu,IN
11.25,76.0,Ernad,Kerala,IN
11.0,77.25,Palladam,Tamil Nadu,IN
11.25,77.5,Perundurai,Tamil Nadu,IN
11.25,75.75,Kozhikode,Kerala,IN
11.25,76.5,Kundah,Tamil Nadu,IN
11.25,76.75,Mettupalayam,Tamil Nadu,IN
11.0,78.75,Manachanallur,Tamil Nadu,IN
11.0,78.25,Thottiyam,Tamil Nadu,IN
